sensorType,referenceDesignator,startTime,endTime,assetID,instrumentSN,githubCalibrationFile,vendorCalibrationFile
RASFLA,RS03INT1-MJ03C-07-D1000A301,2014-07-27 21:15:00,2015-07-11T18:03:47,ATAPL-58340-00003,"['13003-02']",none,none
RASFLA,RS03INT1-MJ03C-07-D1000A301,2015-07-11 18:03:47,2016-07-24T00:00:00,ATAPL-58340-00003,"['13003-02']",none,none
RASFLA,RS03INT1-MJ03C-07-D1000A301,2016-07-25 20:28:00,2017-08-15T07:30:00,ATAPL-58340-00003,"['13003-02']",none,none
RASFLA,RS03INT1-MJ03C-07-D1000A301,2017-08-22 10:30:00,2018-07-04T09:30:00,ATAPL-58340-00003,"['13003-02']",none,none
RASFLA,RS03INT1-MJ03C-07-D1000A301,2018-07-04 09:30:00,2019-07-04T00:17:00,ATAPL-58340-00001,"['12881-01']",none,none
RASFLA,RS03INT1-MJ03C-07-D1000A301,2019-07-04 07:25:00,2021-08-29T02:12:00,ATAPL-58340-00002,"['12881-02']",none,none
RASFLA,RS03INT1-MJ03C-07-D1000A301,2021-08-29 18:55:00,2022-08-12T17:45:00,ATAPL-58340-00001,"['12881-01']",none,none
RASFLA,RS03INT1-MJ03C-07-D1000A301,2022-08-13 20:16:00,nan,ATAPL-58340-00002,"['12881-02']",none,none
RASFLA,RS03INT1-MJ03C-07-RASFLA301,2014-07-27 21:15:00,2015-07-11T18:03:47,ATAPL-58340-00003,"['13003-02']",none,none
RASFLA,RS03INT1-MJ03C-07-RASFLA301,2015-07-11 18:03:47,2016-07-24T00:00:00,ATAPL-58340-00003,"['13003-02']",none,none
RASFLA,RS03INT1-MJ03C-07-RASFLA301,2016-07-25 20:28:00,2017-08-15T07:30:00,ATAPL-58340-00003,"['13003-02']",none,none
RASFLA,RS03INT1-MJ03C-07-RASFLA301,2017-08-22 10:30:00,2018-07-04T09:30:00,ATAPL-58340-00003,"['13003-02']",none,none
RASFLA,RS03INT1-MJ03C-07-RASFLA301,2018-07-04 09:30:00,2019-07-04T00:17:00,ATAPL-58340-00001,"['12881-01']",none,none
RASFLA,RS03INT1-MJ03C-07-RASFLA301,2019-07-04 07:25:00,2021-08-29T02:12:00,ATAPL-58340-00002,"['12881-02']",none,none
RASFLA,RS03INT1-MJ03C-07-RASFLA301,2021-08-29 18:55:00,2022-08-12T17:45:00,ATAPL-58340-00001,"['12881-01']",none,none
RASFLA,RS03INT1-MJ03C-07-RASFLA301,2022-08-13 20:16:00,nan,ATAPL-58340-00002,"['12881-02']",none,none
