sensorType,referenceDesignator,startTime,endTime,assetID,instrumentSN,lat,lon,githubCalibrationFile,vendorCalibrationFile
VEL3DB,RS01SLBS-MJ01A-12-VEL3DB101,2014-09-13 00:00:01,2016-07-17T00:00:00,ATAPL-67979-00004,"['10313']",44.509687,-125.405265,none,none
VEL3DB,RS01SLBS-MJ01A-12-VEL3DB101,2016-07-17 07:30:00,nan,ATAPL-67979-00007,"['10350']",44.509709,-125.40525,none,none
VEL3DB,RS01SUM1-LJ01B-12-VEL3DB104,2014-09-09 00:27:00,2016-07-23T00:00:00,ATAPL-67979-00001,"['10306']",44.569139,-125.148043,none,none
VEL3DB,RS01SUM1-LJ01B-12-VEL3DB104,2016-07-24 04:21:00,2017-08-11T00:30:00,ATAPL-67979-00006,"['10349']",44.569146,-125.148089,none,none
VEL3DB,RS01SUM1-LJ01B-12-VEL3DB104,2017-08-11 23:00:00,2018-06-26T03:30:00,ATAPL-67979-00004,"['10313']",44.569205,-125.148019,none,none
VEL3DB,RS01SUM1-LJ01B-12-VEL3DB104,2018-06-26 17:30:00,nan,ATAPL-67979-00002,"['10311']",44.569246,-125.148026,none,none
VEL3DB,RS01SUM1-LJ01B-12-VEL3DB104,2019-06-25 13:52:10,nan,ATAPL-67979-00002,"['10311']",44.569097,-125.148104,none,none
VEL3DB,RS03AXBS-MJ03A-12-VEL3DB301,2014-08-08 17:11:00,2016-07-12T00:00:00,ATAPL-67979-00005,"['10314']",45.820196,-129.736405,none,none
VEL3DB,RS03AXBS-MJ03A-12-VEL3DB301,2016-07-13 00:00:00,nan,ATAPL-67979-00008,"['10351']",45.820114,-129.736556,none,none
VEL3DB,RS03AXBS-MJ03A-12-VEL3DB301,2019-07-07 03:39:43,nan,ATAPL-67979-00008,"['10351']",45.820254,-129.73633,none,none
VEL3DB,RS03INT2-MJ03D-12-VEL3DB304,2014-07-24 23:20:00,2016-07-26T00:00:00,ATAPL-67979-00002,"['10311']",45.92586,-129.977806,none,none
VEL3DB,RS03INT2-MJ03D-12-VEL3DB304,2016-07-26 23:10:00,2018-07-05T00:00:00,ATAPL-67979-00009,"['10352']",45.925827,-129.977671,none,none
VEL3DB,RS03INT2-MJ03D-12-VEL3DB304,2018-07-05 00:00:00,nan,ATAPL-67979-00003,"['10312']",45.925795,-129.977581,none,none
